# This file is generated on 06-Dec-2021 at 11:56:23 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4425e+00, 9.8000e+01
1, 1, 7.5000e+01, 2.4502e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.1572e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.8402e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.5485e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2677e+02, 7.7000e-02
1, 1, 7.5000e+01, 1.0241e+02, 1.3000e-01
1, 1, 7.5000e+01, 8.2903e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.5099e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.9509e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.8614e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.7629e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.9504e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.3818e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.9081e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.6229e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.4290e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.8213e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.7658e+00, 4.5000e+01
1, 1, 7.5000e+01, 2.1845e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7160e+00, 8.0000e+01
