# This file is generated on 06-Dec-2021 at 12:10:29 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
1, 1, 3.7500e+01, 6.5928e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.4081e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.2253e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.0317e+02, 2.7000e-02
1, 1, 3.7500e+01, 8.5714e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.9239e+01, 7.7000e-02
1, 1, 3.7500e+01, 5.5208e+01, 1.3000e-01
1, 1, 3.7500e+01, 4.4162e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.4239e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.5692e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.9810e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3970e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.7230e+00, 3.0000e+00
1, 1, 3.7500e+01, 6.7982e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.8157e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.6711e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.5848e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.7987e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.2888e+00, 4.5000e+01
1, 1, 3.7500e+01, 1.0107e+00, 6.0000e+01
1, 1, 3.7500e+01, 7.8823e-01, 8.0000e+01
