# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1295e-02, 9.8000e+01
1, 1, 7.5000e+01, 8.5346e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.8948e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.2288e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.6211e-01, 4.5000e-02
1, 1, 7.5000e+01, 6.0222e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.4725e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.9944e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.5074e-01, 3.5000e-01
1, 1, 7.5000e+01, 4.0130e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.6033e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0944e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.6020e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.1402e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.7101e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3779e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.5299e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.1547e-02, 3.0000e+01
1, 1, 7.5000e+01, 1.1168e-02, 4.5000e+01
1, 1, 7.5000e+01, -1.8495e-02, 6.0000e+01
1, 1, 7.5000e+01, -4.9097e-02, 8.0000e+01
