# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,liq_cont_g_m3,att_cld_dB
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 2.8531e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 2.8531e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 2.8531e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 2.8531e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 2.8531e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 2.7430e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 2.5361e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 2.2706e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 1.9967e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 1.7429e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 1.4106e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 1.0541e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 7.0648e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 4.2083e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 2.4632e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 8.1941e-02
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 7.9639e-03
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 1.6426e-03
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 2.4871e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 2.4871e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 2.4871e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 2.4871e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 2.4871e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 2.3911e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 2.2108e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 1.9794e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 1.7406e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 1.5193e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 1.2296e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 9.1891e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 6.1585e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 3.6685e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 2.1473e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 7.1430e-02
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 6.9423e-03
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 1.4319e-03
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 2.2193e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 2.2193e+00
