# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
1, 1, 3.7500e+01, -8.8535e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.0598e+01, 1.0000e-02
1, 1, 3.7500e+01, 9.8038e+00, 1.6000e-02
1, 1, 3.7500e+01, 8.9768e+00, 2.7000e-02
1, 1, 3.7500e+01, 8.2222e+00, 4.5000e-02
1, 1, 3.7500e+01, 7.4784e+00, 7.7000e-02
1, 1, 3.7500e+01, 6.7958e+00, 1.3000e-01
1, 1, 3.7500e+01, 6.2022e+00, 2.1000e-01
1, 1, 3.7500e+01, 5.5973e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.9834e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.4746e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.8426e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2312e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.6577e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.1236e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7111e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.1834e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.4012e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3869e-01, 4.5000e+01
1, 1, 3.7500e+01, -2.2967e-01, 6.0000e+01
1, 1, 3.7500e+01, -6.0969e-01, 8.0000e+01
